,EventID,Incidents,StartTime,InteractionID,OriginInteractionID,DetectorID,ElapsedTime,x,y,z,OriginalParticleID,NewParticleID,Energy
105,11.0,4648.0,0.023895233,7.0,3.0,0.0,0.002063070235722,-412.1673,-282.365,19.70063,6.0,0.0,0.0
106,11.0,4648.0,0.023895233,8.0,6.0,0.0,5.2056040450102e-08,17.85471,27.49795,-59.55958,6.0,13027.0,1056.607
107,11.0,4648.0,0.023895233,9.0,6.0,0.0,5.2056040450102e-08,17.85471,27.49795,-59.55958,6.0,1.0,158.437
108,12.0,6065.0,0.031412315,1.0,0.0,0.0,0.0,17.56966,-58.87866,250.0,0.0,6.0,22000.0
109,12.0,6065.0,0.031412315,2.0,1.0,0.0,4.7426133364088e-08,-8.620986,-36.63534,-48.65046,6.0,13027.0,973.3618
110,12.0,6065.0,0.031412315,3.0,1.0,0.0,4.766382916356e-08,-7.733984,-35.61811,-49.26304,6.0,14028.0,481.6728
111,12.0,6065.0,0.031412315,4.0,1.0,0.0,4.766382916356e-08,-7.733984,-35.61811,-49.26304,6.0,1.0,244.1891
112,12.0,6065.0,0.031412315,5.0,1.0,0.0,4.766382916356e-08,-7.733984,-35.61811,-49.26304,6.0,1.0,345.17
113,12.0,6065.0,0.031412315,6.0,1.0,0.0,4.766382916356e-08,-7.733984,-35.61811,-49.26304,6.0,1.0,1167.503
114,12.0,6065.0,0.031412315,7.0,1.0,0.0,4.766382916356e-08,-7.733984,-35.61811,-49.26304,6.0,1.0,3281.435
115,12.0,6065.0,0.031412315,8.0,1.0,0.0,4.766382916356e-08,-7.733984,-35.61811,-49.26304,6.0,6.0,7035.515
116,12.0,6065.0,0.031412315,9.0,1.0,0.0,4.766382916356e-08,-7.733984,-35.61811,-49.26304,6.0,1.0,8429.453
117,13.0,6443.0,0.033512284,1.0,0.0,0.0,0.0,-44.94271,19.15273,250.0,0.0,6.0,22000.0
118,13.0,6443.0,0.033512284,2.0,1.0,0.0,2.4337945648982e-08,-44.94271,19.15273,94.82138,6.0,6012.0,4837.437
119,13.0,6443.0,0.033512284,3.0,1.0,0.0,2.4337945648982e-08,-44.94271,19.15273,94.82138,6.0,21.0,5949.857
120,13.0,6443.0,0.033512284,4.0,1.0,0.0,2.4337945648982e-08,-44.94271,19.15273,94.82138,6.0,1.0,153.8343
121,13.0,6443.0,0.033512284,5.0,1.0,0.0,2.4337945648982e-08,-44.94271,19.15273,94.82138,6.0,1.0,1445.597
122,13.0,6443.0,0.033512284,6.0,1.0,0.0,2.4337945648982e-08,-44.94271,19.15273,94.82138,6.0,6.0,2418.311
123,13.0,6443.0,0.033512284,7.0,6.0,1.2,3.1664528128727e-08,-51.47088,9.462888,105.3509,6.0,6012.0,669.774
124,13.0,6443.0,0.033512284,8.0,6.0,1.2,3.1945865820474e-08,-51.42675,9.722196,104.9094,6.0,4.0,791.7992
125,13.0,6443.0,0.033512284,9.0,6.0,1.2,3.2860341445256e-08,-51.21569,9.470662,103.7171,6.0,6012.0,227.5483
126,14.0,6920.0,0.035833361,1.0,0.0,0.0,0.0,39.0971,-45.64172,250.0,0.0,6.0,22000.0
127,14.0,6920.0,0.035833361,2.0,1.0,3.1,2.0021661888191e-08,39.0971,-45.64172,122.342,6.0,4008.0,3024.542
128,14.0,6920.0,0.035833361,3.0,1.0,3.1,2.0021661888191e-08,39.0971,-45.64172,122.342,6.0,21.0,3946.433
129,14.0,6920.0,0.035833361,4.0,1.0,3.1,2.0021661888191e-08,39.0971,-45.64172,122.342,6.0,6.0,3340.272
130,14.0,6920.0,0.035833361,5.0,4.0,3.1,4.6488502068457e-08,22.72071,18.02907,133.7568,6.0,4.0,1734.821
131,14.0,6920.0,0.035833361,6.0,4.0,0.0,8.2565793958551e-08,11.94238,60.59857,90.19135,6.0,13027.0,98.22262
132,14.0,6920.0,0.035833361,7.0,4.0,0.0,8.2565793958551e-08,11.94238,60.59857,90.19135,6.0,1.0,733.3048
133,14.0,6920.0,0.035833361,8.0,4.0,0.0,8.2565793958551e-08,11.94238,60.59857,90.19135,6.0,6.0,691.5572
134,14.0,6920.0,0.035833361,9.0,8.0,0.0,1.2863326048625e-07,11.60966,8.339187,98.76244,6.0,4.0,145.5809
135,15.0,7145.0,0.036806079,1.0,0.0,0.0,0.0,23.30172,-38.27396,250.0,0.0,6.0,22000.0
